""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSMUSG00000000001"	2067.37498940608	0.415709173966706	0.166383603462886	2.49849844164143	0.0124720690893595	0.0242785272809235
"ENSMUSG00000000003"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000028"	259.490780243955	3.80154743866618	0.306025490513021	12.4223228342622	1.97735680728788e-35	3.076429823206e-34
"ENSMUSG00000000031"	20855.3011739117	8.34133661915544	0.217516435259764	38.3480752118523	0	0
"ENSMUSG00000000037"	20.0917795141479	2.95101005671451	0.854274236679283	3.45440600922909	0.000551506416385043	0.00140478372416885
"ENSMUSG00000000049"	13569.2465668003	-1.78465591894036	0.146523423667968	-12.1800042222908	3.97261297243024e-34	5.90638309143749e-33
"ENSMUSG00000000056"	2620.90148993726	1.64071412193409	0.220167096489244	7.45213134976436	9.18442155751543e-14	5.80936783988664e-13
"ENSMUSG00000000058"	82.7764525223288	-0.96602240921028	0.407819481290811	-2.36875003163819	0.0178483118226807	0.0334317231835537
"ENSMUSG00000000078"	345.740777753653	0.757073585812668	0.243463682912242	3.10959555345903	0.00187343676895877	0.00434698771920967
"ENSMUSG00000000085"	193.791311813016	1.39413550656693	0.278135055133185	5.01244082986718	5.37439045444638e-07	1.99853296146993e-06
"ENSMUSG00000000088"	655.018792656814	-2.02708152966499	0.209344616282498	-9.68298858438073	3.56149749299218e-22	3.47553031212685e-21
"ENSMUSG00000000093"	41.654783351725	-1.10907591483985	0.52162196718207	-2.12620630383217	0.0334860854533533	0.0585284428315772
"ENSMUSG00000000094"	1.11445940329473	3.39036850614978	3.24371031350661	1.04521309810944	0.295924491100017	NA
"ENSMUSG00000000103"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000120"	71.967080263817	-2.11060337088611	0.444115932977347	-4.75237030280957	2.01045731737066e-06	7.03767251169161e-06
"ENSMUSG00000000125"	0.316993154191537	-2.00728590451474	4.98456203262732	-0.402700556513431	0.68716852447464	NA
"ENSMUSG00000000126"	7.17149229538128	-1.96317033539088	1.24052853880358	-1.582527345388	0.11352923480199	0.169683924607527
"ENSMUSG00000000127"	306.431227193353	0.175338249449183	0.233984456760388	0.749358533796704	0.453641136646459	0.542360377078809
"ENSMUSG00000000131"	717.634344278883	0.208131887181623	0.187520907451427	1.10991296922736	0.267036531277557	0.351016066660512
"ENSMUSG00000000134"	201.555887991326	-1.31204258456945	0.279208880812404	-4.6991434540042	2.61254899727723e-06	9.03928736115272e-06
"ENSMUSG00000000142"	92.0333448773076	-3.82856672698165	0.48243165195341	-7.93597748298526	2.08843901704474e-15	1.46057256181391e-14
"ENSMUSG00000000148"	138.025938438178	-0.797722551875663	0.306598188730067	-2.60185017784952	0.00927223495607362	0.0186102304437506
"ENSMUSG00000000149"	1108.06421173998	-2.92435100343214	0.194234353402783	-15.0557867452413	3.16313862759324e-51	7.48123305955553e-50
"ENSMUSG00000000154"	339.144990564244	-4.19872836452834	0.276339480134641	-15.1940951849609	3.86969880442596e-52	9.38189567720931e-51
"ENSMUSG00000000157"	83.2228062731076	6.14352267727985	0.812060952534594	7.56534673672557	3.86831363843114e-14	2.50076802131582e-13
"ENSMUSG00000000159"	240.287741740268	-2.50554194014761	0.265265430252152	-9.44541449583512	3.54000427079349e-21	3.31463948093578e-20
"ENSMUSG00000000167"	7.23207026809013	0.565241536191309	1.18080903020767	0.478690052100887	0.632159143843684	0.706060165150397
"ENSMUSG00000000168"	610.38431729716	-0.745236611031087	0.196753979146809	-3.78765712522148	0.000152074513690876	0.000421647139817912
"ENSMUSG00000000171"	1852.69221819301	-0.794103562596494	0.163708838936154	-4.85070670439606	1.23022349789092e-06	4.39262312255417e-06
"ENSMUSG00000000182"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000183"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000184"	383.495716558751	0.424264080780864	0.218200112005593	1.9443806736909	0.0518495626617439	0.0857835622951179
"ENSMUSG00000000194"	353.471491184811	-0.113775585734162	0.224707577907317	-0.506327320127539	0.612626887090672	0.688507889401321
"ENSMUSG00000000197"	0.906325406132831	-3.5477035483757	3.54159533857273	-1.00172470573824	0.316476571036936	NA
"ENSMUSG00000000202"	0.316993154191537	-2.00728590451474	4.98456203262732	-0.402700556513431	0.68716852447464	NA
"ENSMUSG00000000204"	31.3772628009327	4.07987166612071	0.806452416347196	5.05903582582141	4.21381699649079e-07	1.58273666316704e-06
"ENSMUSG00000000214"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000215"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000216"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000223"	6.93329039898365	1.88941209966848	1.28558620383031	1.46968915350765	0.141645961678546	0.204988257361281
"ENSMUSG00000000244"	235.587431664068	6.31026676719461	0.518259120525881	12.1758913973218	4.17804379143305e-34	6.20057963766565e-33
"ENSMUSG00000000247"	34.7582462902245	-0.288768238218794	0.568752487387392	-0.507722154403707	0.611648209332991	0.687784730286478
"ENSMUSG00000000248"	1.39138804905881	-1.88989955610196	2.75854547622083	-0.685107268447538	0.493276233985111	NA
"ENSMUSG00000000253"	582.698341321893	5.65041037943128	0.30451046968436	18.5557179209247	7.33212599250064e-77	3.1017916505388e-75
"ENSMUSG00000000263"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000266"	128.319801714957	-1.58254296124347	0.326635414415547	-4.84498278937432	1.26622654559932e-06	4.51528188561095e-06
"ENSMUSG00000000275"	1281.41690387891	-0.808880197521511	0.222825455280826	-3.63010678695611	0.000283303987632037	0.000755017316608583
"ENSMUSG00000000276"	71.8438276177535	0.00186719448126046	0.400742876445515	0.0046593329314347	0.996282403641494	0.997287746669393
"ENSMUSG00000000278"	598.683086663335	-0.957112074729252	0.19880035725604	-4.81443840413507	1.47614424751383e-06	5.23225843177226e-06
"ENSMUSG00000000282"	59.7227458890671	-0.465727244895601	0.457583634519584	-1.01779698783277	0.308774443810668	0.396326534306249
"ENSMUSG00000000290"	276.883802926655	0.843091257954625	0.244038242658368	3.45475057011814	0.00055080213411914	0.00140342536936224
"ENSMUSG00000000295"	28.6793393642782	1.97869959229233	0.656405303977305	3.01444790330448	0.00257447421190996	0.00580140303600907
"ENSMUSG00000000296"	30.7947097979912	-4.48530985626776	0.792110427605668	-5.66248050770599	1.49200329198339e-08	6.49767631589689e-08
"ENSMUSG00000000301"	888.033127185542	-4.44034256277067	0.217441947046405	-20.4208186280775	1.09218662532863e-92	6.2682347091413e-91
"ENSMUSG00000000303"	1326.03947536417	-1.33515325520582	0.193347555586515	-6.9054571243772	5.00420214825025e-12	2.82167550880727e-11
"ENSMUSG00000000305"	19.4006530252357	-1.96119458905848	0.760966010257007	-2.57724334940546	0.00995918091781818	0.0198434080583962
"ENSMUSG00000000308"	1.39138804905881	-1.88989955610196	2.75854547622083	-0.685107268447538	0.493276233985111	NA
"ENSMUSG00000000317"	44.0905465640951	0.00973311098301835	0.505963041209368	0.0192368022766129	0.984652199057403	0.988566957937991
"ENSMUSG00000000318"	2.74430966264768	-3.31948743222248	2.22848911773397	-1.4895686076304	0.136337701347351	NA
"ENSMUSG00000000320"	60.226028484571	2.61464517324385	0.490112498649398	5.33478574908623	9.56574374560863e-08	3.84185360036771e-07
"ENSMUSG00000000325"	288.97516342998	-0.605287780114486	0.247614987736125	-2.4444714984681	0.0145064542324851	0.0278164649266367
"ENSMUSG00000000326"	6200.27865637751	-4.45387402620134	0.159695229985262	-27.8898375775681	3.54378590161578e-171	6.76368625454901e-169
"ENSMUSG00000000339"	118.98910951401	0.548210887367336	0.328620045467051	1.66822108063491	0.0952718476109901	0.145794527940219
"ENSMUSG00000000340"	1208.3808843134	-0.991185979249282	0.172828541972732	-5.73508268909465	9.74647837195967e-09	4.30629060558132e-08
"ENSMUSG00000000346"	655.383363608629	-0.509134569780976	0.190580565795287	-2.67149259241819	0.00755147392019107	0.0154416211443897
"ENSMUSG00000000355"	151.395553025561	-0.511350950344371	0.298010124335197	-1.71588449045178	0.0861831859303564	0.133744049717393
"ENSMUSG00000000359"	9.95705931854523	0.000224217391941752	0.999489653623445	0.000224331878903297	0.999821009058828	0.999929478052746
"ENSMUSG00000000365"	22.8204920278416	3.36716651757782	0.844125599546246	3.98894017594991	6.6369155450043e-05	0.000193187323560384
"ENSMUSG00000000374"	748.467061744527	0.95119156137857	0.186020457388986	5.11337072669132	3.16460352994075e-07	1.20631217697277e-06
"ENSMUSG00000000378"	216.608966748305	-0.207782394454691	0.278601847808331	-0.745804078792895	0.455785775684848	0.54444856430326
"ENSMUSG00000000381"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000384"	270.307177395531	-0.309742441487403	0.259688583886129	-1.19274569891459	0.232968982273229	0.313490152076798
"ENSMUSG00000000385"	68.5287556375057	1.04474825236711	0.435920615875084	2.39664795451309	0.0165458120685695	0.0312272001027366
"ENSMUSG00000000386"	24.3591803122376	-0.592520789482526	0.669527479728164	-0.884983525580005	0.376165516786486	0.46669544917108
"ENSMUSG00000000392"	10.1221373322229	1.02960900238022	1.04920099681742	0.981326748166813	0.326431636344608	0.414955850020482
"ENSMUSG00000000394"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000399"	1063.96748009493	-0.767652656416481	0.177991987558903	-4.31284951050081	1.61163821913709e-05	5.08719802479156e-05
"ENSMUSG00000000402"	2.39881680023492	4.46272406084466	2.44943679606563	1.82193885060143	0.0684642645447638	NA
"ENSMUSG00000000409"	16.8986627287818	1.26439905001651	0.801687081306062	1.57717278910946	0.114755772298562	0.171252045323084
"ENSMUSG00000000411"	0	NA	NA	NA	NA	NA
"ENSMUSG00000000416"	20.3481764098938	1.71312072978242	0.764456641532482	2.24096519895252	0.0250283293422382	0.0451147592602127
"ENSMUSG00000000420"	1639.92848999046	1.3343730354438	0.166684308709903	8.00539082395654	1.19087844913884e-15	8.4473115229753e-15
"ENSMUSG00000000435"	0	NA	NA	NA	NA	NA
