Source Name	Characteristics[organism]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Comment [specimen with known storage state]	Comment[ENA_SAMPLE]	Material Type	Provider	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment [LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[developmental stage]	FactorValue [organism part]
E15.5_l_01	Mus musculus	C57BL/6J	embryonic day 15.5	wild type	liver	fresh specimen	ERS406875	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E15.5_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1474_RNAseq_liver_mmuBL6Greece_CRI01	sequencing assay	ERX402225	do1474_RNAseq_liver_mmuBL6Greece_CRI01p1.fq.gz	do1474_RNAseq_liver_mmuBL6Greece_CRI01p1.fq.gz	ERR435947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435947/ERR435947_1.fastq.gz	6325f171da43b940a5b5ba26c2bc4b1f	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 15.5	liver
E15.5_l_01	Mus musculus	C57BL/6J	embryonic day 15.5	wild type	liver	fresh specimen	ERS406875	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E15.5_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1474_RNAseq_liver_mmuBL6Greece_CRI01	sequencing assay	ERX402225	do1474_RNAseq_liver_mmuBL6Greece_CRI01p2.fq.gz	do1474_RNAseq_liver_mmuBL6Greece_CRI01p2.fq.gz	ERR435947	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435947/ERR435947_2.fastq.gz	4bb5523199add2f97e02667121bb26da	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 15.5	liver
E15.5_l_02	Mus musculus	C57BL/6J	embryonic day 15.5	wild type	liver	fresh specimen	ERS406878	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E15.5_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1647_RNAseq_liver_mmuBL6e15.5_CRI01	sequencing assay	ERX402228	do1647_RNAseq_liver_mmuBL6e15.5_CRI01p1.fq.gz	do1647_RNAseq_liver_mmuBL6e15.5_CRI01p1.fq.gz	ERR435952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435952/ERR435952_1.fastq.gz	1eaf4b573ae892e1643372aa93d2fa09	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 15.5	liver
E15.5_l_02	Mus musculus	C57BL/6J	embryonic day 15.5	wild type	liver	fresh specimen	ERS406878	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E15.5_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1647_RNAseq_liver_mmuBL6e15.5_CRI01	sequencing assay	ERX402228	do1647_RNAseq_liver_mmuBL6e15.5_CRI01p2.fq.gz	do1647_RNAseq_liver_mmuBL6e15.5_CRI01p2.fq.gz	ERR435952	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435952/ERR435952_2.fastq.gz	abf7f71263786e80006dfd16ef160419	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 15.5	liver
E18.5_l_01	Mus musculus	C57BL/6J	embryonic day 18.5	wild type	liver	fresh specimen	ERS406863	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E18.5_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1473_RNAseq_liver_mmuBL6Greece_CRI01	sequencing assay	ERX402213	do1473_RNAseq_liver_mmuBL6Greece_CRI01p1.fq.gz	do1473_RNAseq_liver_mmuBL6Greece_CRI01p1.fq.gz	ERR435945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435945/ERR435945_1.fastq.gz	a7fb9d885ba19df1f88dbc139bf2a14d	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 18.5	liver
E18.5_l_01	Mus musculus	C57BL/6J	embryonic day 18.5	wild type	liver	fresh specimen	ERS406863	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E18.5_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1473_RNAseq_liver_mmuBL6Greece_CRI01	sequencing assay	ERX402213	do1473_RNAseq_liver_mmuBL6Greece_CRI01p2.fq.gz	do1473_RNAseq_liver_mmuBL6Greece_CRI01p2.fq.gz	ERR435945	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435945/ERR435945_2.fastq.gz	d5df41406e460c9ef51b6145bf96c4b5	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 18.5	liver
E18.5_l_02	Mus musculus	C57BL/6J	embryonic day 18.5	wild type	liver	fresh specimen	ERS406861	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E18.5_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1653_RNAseq_liver_mmuBL6e18.5_CRI02	sequencing assay	ERX402211	do1653_RNAseq_liver_mmuBL6e18.5_CRI02p1.fq.gz	do1653_RNAseq_liver_mmuBL6e18.5_CRI02p1.fq.gz	ERR435943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435943/ERR435943_1.fastq.gz	c21c75312db8e14f15d4dfac128e4194	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 18.5	liver
E18.5_l_02	Mus musculus	C57BL/6J	embryonic day 18.5	wild type	liver	fresh specimen	ERS406861	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E18.5_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1653_RNAseq_liver_mmuBL6e18.5_CRI02	sequencing assay	ERX402211	do1653_RNAseq_liver_mmuBL6e18.5_CRI02p2.fq.gz	do1653_RNAseq_liver_mmuBL6e18.5_CRI02p2.fq.gz	ERR435943	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435943/ERR435943_2.fastq.gz	26c0ac76fa7917c4590b66d8ca7d78b8	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 18.5	liver
P0.5_l_01	Mus musculus	C57BL/6J	postnatal day 0.5	wild type	liver	fresh specimen	ERS406868	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P0.5_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2191_RNAseq_liver_mmuBL6P0.5_CRI01	sequencing assay	ERX402218	do2191_RNAseq_liver_mmuBL6P0.5_CRI01p1.fq.gz	do2191_RNAseq_liver_mmuBL6P0.5_CRI01p1.fq.gz	ERR435939	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435939/ERR435939_1.fastq.gz	0ec635b688cfadb10d5c731f1a781ed5	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 0.5	liver
P0.5_l_01	Mus musculus	C57BL/6J	postnatal day 0.5	wild type	liver	fresh specimen	ERS406868	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P0.5_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2191_RNAseq_liver_mmuBL6P0.5_CRI01	sequencing assay	ERX402218	do2191_RNAseq_liver_mmuBL6P0.5_CRI01p2.fq.gz	do2191_RNAseq_liver_mmuBL6P0.5_CRI01p2.fq.gz	ERR435939	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435939/ERR435939_2.fastq.gz	1d881e91af282e9deb57552634e596b6	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 0.5	liver
