Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
14_3_3_protein_binding(4)	18	0.63902	0.96304	1	0.36098	0.037962	0.11026	0.25684	0.003996	0.0054487	7	0.40199	0.74326	0.85191	11	0.16446	0.18082	0.32846
1_oxa_2_oxocycloheptane_lactonase_activity(6)&sulfolactone_hydrolase_activity(6)&butyrolactone_hydrolase_activity(6)&endosulfan_lactone_lactonase_activity(6)&L_ascorbate_6_phosphate_lactonase_activity(6)&Ser_tRNA_Thr_hydrolase_activity(6)&Ser_Gly_tRNA_Ala_hydrolase_activity(6)&all_trans_retinyl_palmitate_hydrolase_all_trans_retinol_forming_activity(6)&methyl_indole_3_acetate_esterase_activity(6)&methyl_salicylate_esterase_activity(6)&methyl_jasmonate_esterase_activity(6)&prenylcysteine_methylesterase_activity(7)&Ala_tRNA_Pro_hydrolase_activity(7)&Cys_tRNA_Pro_hydrolase_activity(7)&mannosyl_oligosaccharide_1_6_alpha_mannosidase_activity(9)&mannosyl_oligosaccharide_1_3_alpha_mannosidase_activity(9)	24	0.80581	1	1	0.19419	0.000999	0.0072255	0.3026	0.004995	0.0066792	4	0.43682	0.76523	0.86611	16	0.094688	0.015984	0.062081
1_phenanthrol_methyltransferase_activity(6)&dimethylarsinite_methyltransferase_activity(6)&4_5_dihydroxybenzo_a_pyrene_methyltransferase_activity(6)&1_hydroxypyrene_methyltransferase_activity(6)&1_hydroxy_6_methoxypyrene_methyltransferase_activity(6)&demethylmenaquinone_methyltransferase_activity(6)&cobalt_precorrin_6B_C5_methyltransferase_activity(6)&cobalt_precorrin_7_C15_methyltransferase_activity(6)&cobalt_precorrin_5B_C1_methyltransferase_activity(6)&cobalt_precorrin_3_C17_methyltransferase_activity(6)&dimethylamine_methyltransferase_activity(6)&hydroxyneurosporene_O_methyltransferase_activity(6)&methylamine_specific_methylcobalamin_coenzyme_M_methyltransferase_activity(6)&trimethylamine_methyltransferase_activity(6)&methanol_specific_methylcobalamin_coenzyme_M_methyltransferase_activity(6)&monomethylamine_methyltransferase_activity(6)&P_methyltransferase_activity(6)&Se_methyltransferase_activity(6)&rRNA_uridine_2_O__methyltransferase_activity(7)&rRNA_cytosine_C5__methyltransferase_activity(7)&selenocysteine_methyltransferase_activity(7)&protein_C_terminal_leucine_carboxyl_O_methyltransferase_activity(7)&2_phytyl_1_4_naphthoquinone_methyltransferase_activity(7)&phosphomethylethanolamine_N_methyltransferase_activity(7)&rRNA_cytosine_2_O__methyltransferase_activity(7)&rRNA_cytosine_N4__methyltransferase_activity(7)&trihydroxyferuloyl_spermidine_O_methyltransferase_activity(7)&rRNA_cytosine_methyltransferase_activity(8)&rRNA_guanine_methyltransferase_activity(8)&rRNA_uridine_methyltransferase_activity(8)&protein_arginine_N5_methyltransferase_activity(8)&tRNA_cytosine_2_O__methyltransferase_activity(8)&tRNA_cytosine_3__methyltransferase_activity(8)&tRNA_adenine_57_58_N_1__methyltransferase_activity(9)&tRNA_uracil_2_O__methyltransferase_activity(9)	71	0.44808	0.21079	1	0.55192	0.79021	0.95894	0.32672	0.000999	0.00151	37	0.26	0.17183	0.34009	30	0.31923	0.87712	0.92949
1_phosphatidylinositol_3_kinase_activity(7)	11	0.47512	0.5025	1	0.52488	0.4985	0.70456	0.1181	0.000999	0.00151	6	0.14597	0.10589	0.24707	5	0.084651	0.13287	0.26977
1_phosphatidylinositol_binding(6)	14	0.59984	0.87113	1	0.40016	0.12987	0.27559	0.076958	0.000999	0.00151	6	0.15608	0.12188	0.26967	8	0.01762	0.004995	0.02655
2_iron_2_sulfur_cluster_binding(5)	22	0.68864	0.996	1	0.31136	0.004995	0.023727	0.1267	0.000999	0.00151	7	0.22055	0.24476	0.42969	15	0.082904	0.013986	0.05669
2_oxoglutarate_metabolic_process(8)	15	0.91973	1	1	0.080273	0.000999	0.0072255	0.030435	0.000999	0.00151	1	0.024173	0.34366	0.53152	14	0.030882	0.002997	0.018216
2_oxoglutaryl_CoA_thioesterase_activity(6)&2_4_4_trimethyl_3_oxopentanoyl_CoA_thioesterase_activity(6)&3_isopropylbut_3_enoyl_CoA_thioesterase_activity(6)&glutaryl_CoA_hydrolase_activity(8)	11	0.74386	0.99301	1	0.25614	0.007992	0.034015	0.15069	0.000999	0.00151	2	0.0056524	0.10889	0.25143	9	0.18293	0.29071	0.45054
3_4_dihydrocoumarin_hydrolase_activity(6)	25	0.81505	1	1	0.18495	0.000999	0.0072255	0.29049	0.001998	0.002859	4	0.43682	0.76523	0.86611	17	0.089118	0.011988	0.051
3_5_DNA_helicase_activity(10)	10	0.099969	0.001998	0.036541	0.90003	0.999	1	0.00019598	0.000999	0.00151	9	7.4674e-05	0.000999	0.0078325	1	0.0012877	0.36963	0.52685
3_5_cyclic_AMP_phosphodiesterase_activity(9)	19	0.55594	0.77922	1	0.44406	0.22178	0.40406	0.16408	0.000999	0.00151	8	0.1402	0.057942	0.16366	11	0.18145	0.24775	0.40726
3_5_cyclic_GMP_phosphodiesterase_activity(9)	13	0.27204	0.024975	0.26608	0.72796	0.97602	1	0.37163	0.06993	0.07883	11	0.35928	0.69031	0.81659	2	0.43957	0.79021	0.86889
3_5_cyclic_nucleotide_phosphodiesterase_activity(8)	30	0.46447	0.38961	1	0.53553	0.61139	0.80844	0.25395	0.000999	0.00151	17	0.27902	0.36364	0.54907	13	0.22116	0.38262	0.53939
